Application_ID,Availability (%),MTTR (hrs),Incident Frequency (per month),Security Vulnerabilities (CVE Score Avg.),Third-Party Dependencies (#),Compliance Adherence (%),IBS Impacted,Availability (Norm),MTTR (Norm),Incident Frequency (Norm),Security Vulnerabilities (Norm),Third-Party Dependencies (Norm),Compliance (Norm),IBS Impacted (Norm),Risk Score,Banking Solution,Solution Risk Score
App_1,87.49080237694724,8.886380584253743,27,3.6005046590097836,15,93.30447093304525,0,0.12509197623052756,0.18513292883861965,0.54,0.36005046590097833,0.75,0.06695529066954747,0,28.84,Payments,49.61333333333334
App_2,99.01428612819832,26.011245474161193,6,9.567998154842861,1,92.16662259935536,0,0.009857138718016785,0.5419009473783581,0.12,0.9567998154842862,0.05,0.07833377400644637,0,28.91,Customer Support,53.401939393939394
App_3,94.6398788362281,41.9014001220676,34,5.0040114571020125,17,94.65692734158802,1,0.053601211637718936,0.8729458358764083,0.68,0.5004011457102012,0.85,0.05343072658411984,1,95.81,Customer Support,53.401939393939394
App_4,91.97316968394074,35.146794547658935,27,4.327291360197046,16,62.38469301378636,0,0.08026830316059261,0.7322248864095612,0.54,0.43272913601970464,0.8,0.37615306986213637,0,44.88,Customer Support,53.401939393939394
App_5,83.12037280884873,38.71493509734959,13,4.57699605159294,6,87.6820221215898,0,0.16879627191151272,0.8065611478614497,0.26,0.457699605159294,0.3,0.12317977878410204,0,35.96,Customer Support,53.401939393939394
App_6,83.11989040672405,31.62160160211443,9,2.0888272400516374,12,65.59949506887051,0,0.16880109593275947,0.6587833667107174,0.18,0.20888272400516375,0.6,0.3440050493112949,0,34.39,Payments,49.61333333333334
App_7,81.161672243364,33.22927509685692,15,3.6870717086479523,17,76.63274272073645,1,0.18838327756636006,0.6922765645178525,0.3,0.3687071708647952,0.85,0.23367257279263554,1,90.59,Risk Management,52.27423076923077
App_8,97.3235229154987,40.761391275135324,15,3.698132559871766,13,81.94353660218754,1,0.026764770845013004,0.8491956515653193,0.3,0.3698132559871766,0.65,0.18056463397812464,1,86.91,Fraud Detection,48.961543624161074
App_9,92.02230023486418,11.984064425240925,30,0.523550201874724,17,76.10957938987323,1,0.07977699765135825,0.24966800885918594,0.6,0.0523550201874724,0.85,0.23890420610126767,1,78.86,Fraud Detection,48.961543624161074
App_10,94.1614515559209,23.492398254870743,41,7.675676285179183,12,80.7844670321203,0,0.05838548444079095,0.4894249636431405,0.82,0.7675676285179183,0.6,0.19215532967879695,0,43.94,Customer Support,53.401939393939394
App_11,80.41168988591605,10.618053207340907,24,4.16504431903879,10,99.86105235194476,0,0.19588310114083954,0.22120944181960223,0.48,0.416504431903879,0.5,0.0013894764805523607,0,27.79,Core Banking,49.03
App_12,99.39819704323989,47.408064383839054,12,8.221798868164234,15,65.40869254851418,0,0.006018029567601104,0.987668007996647,0.24,0.8221798868164234,0.75,0.3459130745148582,0,48.53,Lending,49.87919075144509
App_13,96.64885281600843,45.31484830495744,5,8.503480011198954,16,87.01824181345702,0,0.033511471839915714,0.9440593396866133,0.1,0.8503480011198954,0.8,0.12981758186542977,0,43.92,Payments,49.61333333333334
App_14,84.24678221356552,1.8924869456882831,43,2.1199405469865806,7,75.8400386554246,0,0.15753217786434476,0.0394268113685059,0.86,0.21199405469865806,0.35,0.24159961344575392,0,27.93,Core Banking,49.03
App_15,83.63649934414201,33.867608280753046,8,6.573534821701285,18,65.32039195629315,1,0.1636350065585799,0.7055751725156885,0.16,0.6573534821701286,0.9,0.3467960804370685,1,94.66,Core Banking,49.03
App_16,83.66809019706868,44.411919235951956,44,4.722818041629817,19,66.34947053497238,1,0.16331909802931321,0.9252483174156657,0.88,0.4722818041629817,0.95,0.3365052946502762,1,107.42,Customer Support,53.401939393939394
App_17,86.08484485919075,8.66761656611201,35,8.80156737921485,14,97.97092424982468,1,0.13915155140809246,0.18057534512733353,0.7,0.880156737921485,0.7,0.020290757501753232,1,88.1,Payments,49.61333333333334
App_18,90.49512863264476,27.261371066526216,42,2.157406791764541,8,95.18405986847048,0,0.09504871367355236,0.5679452305526295,0.84,0.2157406791764541,0.4,0.048159401315295156,0,34.29,Fraud Detection,48.961543624161074
App_19,88.63890037284231,43.943438284226005,19,6.778132003100442,19,96.28167841660087,0,0.11361099627157685,0.9154882975880417,0.38,0.6778132003100442,0.95,0.03718321583399131,0,47.07,Lending,49.87919075144509
App_20,85.82458280396084,1.6294069721183444,17,6.077521222527226,9,99.66131103309546,0,0.14175417196039164,0.03394597858579884,0.34,0.6077521222527226,0.45,0.0033868896690454164,0,22.99,Fraud Detection,48.961543624161074
App_21,92.23705789444759,33.476172827848316,42,2.953014775718328,11,68.33261560034072,0,0.07762942105552412,0.6974202672468399,0.84,0.2953014775718328,0.55,0.3166738439965928,0,43.17,Core Banking,49.03
App_22,82.78987721304084,14.272752353882437,20,1.3660090365117261,19,74.21757349456247,1,0.17210122786959162,0.29734900737255077,0.4,0.1366009036511726,0.95,0.2578242650543753,1,81.67,Lending,49.87919075144509
App_23,85.84289297070437,44.37101737807346,3,6.516397604772766,0,86.76876119699466,0,0.14157107029295632,0.9243961953765304,0.06,0.6516397604772766,0.0,0.1323123880300534,0,34.69,Risk Management,52.27423076923077
App_24,87.32723686587383,46.61079576793765,49,7.385974581323307,19,79.35210159442589,0,0.12672763134126172,0.9710582451653678,0.98,0.7385974581323307,0.95,0.2064789840557411,0,60.97,Core Banking,49.03
App_25,89.12139968434072,45.324791477444826,32,3.1562734376334998,8,76.73558133513333,0,0.10878600315659284,0.9442664891134339,0.64,0.31562734376335,0.4,0.23264418664866668,0,43.43,Fraud Detection,48.961543624161074
App_26,95.70351922786027,22.76228239955826,26,6.448326040223138,14,74.31244997342372,0,0.042964807721397304,0.4742142166574637,0.52,0.6448326040223138,0.7,0.2568755002657628,0,38.88,Fraud Detection,48.961543624161074
App_27,83.9934756431672,41.378047247487046,6,3.9513090761150327,0,83.75122527773809,1,0.160065243568328,0.8620426509893134,0.12,0.39513090761150327,0.0,0.16248774722261913,1,81.41,Customer Support,53.401939393939394
App_28,90.28468876827223,40.53837112968338,5,7.132068832826177,11,83.02373714560328,0,0.09715311231727768,0.8445493985350704,0.1,0.7132068832826177,0.55,0.16976262854396723,0,39.56,Fraud Detection,48.961543624161074
App_29,91.84829137724086,15.31682271567627,14,1.992152748940531,2,66.4583133625696,1,0.08151708622759145,0.31910047324325563,0.28,0.1992152748940531,0.1,0.335416866374304,1,71.64,Payments,49.61333333333334
App_30,80.92900825439996,39.787942759232514,17,8.902150026361744,10,78.86959350073757,0,0.1907099174560004,0.8289154741506773,0.34,0.8902150026361744,0.5,0.21130406499262436,0,47.97,Core Banking,49.03
App_31,92.15089703802877,1.7763664663436458,31,2.8740959646557975,1,82.138871048394,0,0.07849102961971227,0.03700763471549262,0.62,0.28740959646557973,0.05,0.17861128951606006,0,19.49,Lending,49.87919075144509
App_32,83.41048247374583,28.620954167138546,10,3.677859877561529,15,82.81147754925561,1,0.1658951752625417,0.596269878482053,0.2,0.3677859877561529,0.75,0.17188522450744387,1,84.67,Fraud Detection,48.961543624161074
App_33,81.30103185970559,11.040424189809746,19,0.5809195208034978,8,68.40428771649407,0,0.1869896814029441,0.23000883728770305,0.38,0.058091952080349785,0.4,0.31595712283505933,0,24.59,Customer Support,53.401939393939394
App_34,98.97771074506667,5.787210517309383,23,1.115122123212764,14,89.69085569009147,1,0.010222892549333267,0.12056688577727881,0.46,0.1115122123212764,0.7,0.10309144309908533,1,69.79,Customer Support,53.401939393939394
App_35,99.31264066149119,3.6937536782020395,14,5.158619027123281,11,61.00796379284279,0,0.006873593385088128,0.07695320162920916,0.28,0.5158619027123281,0.55,0.3899203620715721,0,25.0,Fraud Detection,48.961543624161074
App_36,96.16794696232922,33.42186124215071,47,2.675926767279715,0,74.19327422172651,0,0.038320530376707754,0.6962887758781399,0.94,0.2675926767279715,0.0,0.25806725778273487,0,36.87,Payments,49.61333333333334
App_37,86.09227538346741,16.313998260867173,6,8.354802257421944,12,91.20850594142534,0,0.1390772461653259,0.3398749637680661,0.12,0.8354802257421945,0.6,0.08791494058574656,0,31.93,Customer Support,53.401939393939394
App_38,81.95344228012767,34.78880503338055,20,0.14693388654953843,13,82.5557168422161,1,0.18046557719872325,0.7247667715287615,0.4,0.014693388654953843,0.65,0.174442831577839,1,84.34,Lending,49.87919075144509
App_39,93.68466053024314,3.1371043583492337,41,3.7909404867193617,7,70.4464973004344,0,0.06315339469756864,0.06535634079894237,0.82,0.3790940486719362,0.35,0.295535026995656,0,28.81,Core Banking,49.03
App_40,88.80304987479202,15.133936215869296,25,3.3734554676909267,7,87.79812477372191,1,0.11196950125207977,0.31529033783061033,0.5,0.3373455467690927,0.35,0.1220187522627809,1,77.0,Risk Management,52.27423076923077
App_41,82.44076469689557,25.895582034016186,43,0.19327630917601035,11,82.69563776624294,0,0.17559235303104428,0.5394912923753372,0.86,0.019327630917601035,0.55,0.17304362233757062,0,36.47,Payments,49.61333333333334
App_42,89.9035382022254,37.95471191227025,13,1.2436839900051022,0,91.84974437825548,0,0.10096461797774595,0.7907231648389635,0.26,0.12436839900051022,0.0,0.0815025562174452,0,25.33,Customer Support,53.401939393939394
App_43,80.68777042230437,15.300120140739356,36,4.136426749186352,10,89.40100744759293,0,0.19312229577695633,0.3187525029320699,0.72,0.4136426749186352,0.5,0.10598992552407069,0,34.8,Core Banking,49.03
App_44,98.18640804157565,30.042786068976437,20,4.928645844474467,7,84.40431688144939,0,0.01813591958424354,0.6258913764370091,0.4,0.4928645844474467,0.35,0.1559568311855061,0,32.2,Risk Management,52.27423076923077
App_45,85.17559963200034,42.52693191533698,17,4.042897472548691,9,79.52710701243257,0,0.14824400367999657,0.8859777482361871,0.34,0.4042897472548691,0.45,0.20472892987567434,0,40.16,Fraud Detection,48.961543624161074
App_46,93.25044568707963,29.56143303275062,4,5.309376784120938,18,65.32728502670093,1,0.06749554312920367,0.6158631881823046,0.08,0.5309376784120938,0.9,0.3467271497329907,1,87.37,Fraud Detection,48.961543624161074
App_47,86.23422152178821,11.18205478817442,2,5.951316749056815,10,70.45332071541534,0,0.13765778478211785,0.23295947475363377,0.04,0.5951316749056815,0.5,0.29546679284584654,0,27.06,Lending,49.87919075144509
App_48,90.40136042355621,1.171237514713825,22,0.0992382112783563,6,76.76397891668341,0,0.09598639576443788,0.02440078155653802,0.44,0.00992382112783563,0.3,0.23236021083316585,0,16.12,Risk Management,52.27423076923077
App_49,90.93420558686559,41.764745947244634,25,4.640951594535039,10,83.97197148025555,0,0.09065794413134412,0.8700988739009299,0.5,0.46409515945350394,0.5,0.16028028519744453,0,41.53,Fraud Detection,48.961543624161074
